datetime	open	high	low	close	volume
19.10.2020 00:00	76.09	76.43	75.0	75.64	877603
20.10.2020 00:00	75.4	75.66	74.51	75.48	690809
21.10.2020 00:00	75.1	75.62	73.87	74.83	873396
22.10.2020 00:00	74.48	75.58	74.41	75.18	756028
23.10.2020 00:00	75.15	75.5	74.63	74.94	492052
26.10.2020 00:00	74.72	75.89	74.02	74.15	908835
27.10.2020 00:00	74.35	74.92	73.52	74.46	1104659
28.10.2020 00:00	74.47	74.65	69.91	70.24	2242650
29.10.2020 00:00	70.62	72.2	69.23	71.81	2356401
30.10.2020 00:00	71.6	71.69	69.94	70.75	1402395
02.11.2020 00:00	70.87	71.38	70.08	70.96	1049858
03.11.2020 00:00	71.21	72.13	70.65	71.89	1287897
05.11.2020 00:00	72.48	75.76	71.9	74.9	2324454
06.11.2020 00:00	74.66	77.6	74.16	76.78	2124486
09.11.2020 00:00	77.31	81.94	76.76	79.91	3641022
10.11.2020 00:00	79.74	80.87	78.34	79.24	2269982
11.11.2020 00:00	79.0	80.5	78.47	79.67	1841854
12.11.2020 00:00	79.95	80.59	78.55	79.52	1838119
13.11.2020 00:00	79.74	81.65	78.76	81.2	1812329
16.11.2020 00:00	81.89	86.51	81.75	86.4	3718331
17.11.2020 00:00	86.49	87.4	85.04	86.3	3160586
18.11.2020 00:00	86.19	90.15	85.74	88.9	3673547
19.11.2020 00:00	89.15	91.2	88.12	89.54	3653218
20.11.2020 00:00	89.04	89.4	87.66	88.38	1376732
23.11.2020 00:00	88.7	89.38	86.5	86.93	2259113
24.11.2020 00:00	86.9	87.51	83.6	85.74	3252232
25.11.2020 00:00	85.7	87.98	84.1	87.69	2599137
26.11.2020 00:00	87.74	89.08	86.89	87.37	1719701
27.11.2020 00:00	87.22	91.0	87.22	90.53	3800324
30.11.2020 00:00	89.69	91.14	87.9	88.52	3192127
01.12.2020 00:00	88.54	90.99	87.9	89.9	1956174
02.12.2020 00:00	89.68	91.98	89.08	89.76	1924757
03.12.2020 00:00	90.2	90.79	86.94	89.44	2566610
04.12.2020 00:00	90.21	92.16	89.4	91.54	2102375
07.12.2020 00:00	91.45	93.5	90.91	91.93	2542234
08.12.2020 00:00	92.02	94.49	91.44	92.95	2333005
09.12.2020 00:00	93.17	93.9	91.41	91.65	1376065
10.12.2020 00:00	91.74	93.33	90.69	92.21	2378691
11.12.2020 00:00	92.26	93.29	91.91	92.1	998855
14.12.2020 00:00	92.52	92.69	90.07	90.4	1851848
15.12.2020 00:00	90.11	93.55	89.68	91.95	2183900
16.12.2020 00:00	92.18	96.49	92.18	96.27	4504445
17.12.2020 00:00	96.1	98.79	95.58	96.49	3200331
18.12.2020 00:00	95.89	97.2	93.76	94.58	2480309
21.12.2020 00:00	94.6	95.28	92.64	94.85	1914046
22.12.2020 00:00	94.43	97.01	94.41	96.14	1784434
23.12.2020 00:00	96.2	97.76	96.14	97.23	1716818
24.12.2020 00:00	97.5	98.92	96.11	97.71	1241217
25.12.2020 00:00	97.73	98.06	96.13	97.11	413494
28.12.2020 00:00	97.07	97.99	96.82	97.65	824245
29.12.2020 00:00	97.6	98.44	97.35	97.67	847137
30.12.2020 00:00	97.96	99.4	97.53	99.0	1169513
