datetime	open	high	low	close	volume
26.05.2020 00:00	132.9	136.44	132.2	134.0	1340039
27.05.2020 00:00	134.02	138.26	134.02	135.7	971209
28.05.2020 00:00	137.96	139.26	135.94	138.8	778925
29.05.2020 00:00	139.16	139.16	134.72	137.76	1648776
01.06.2020 00:00	138.3	139.0	136.8	137.72	450073
02.06.2020 00:00	137.4	138.24	136.36	138.16	561818
03.06.2020 00:00	138.48	140.74	137.68	139.88	640414
04.06.2020 00:00	140.38	140.88	136.72	138.86	1095697
05.06.2020 00:00	138.88	144.16	138.22	142.0	886419
08.06.2020 00:00	139.88	140.0	137.1	137.58	672130
09.06.2020 00:00	138.02	138.78	135.92	137.0	628692
10.06.2020 00:00	137.0	139.3	136.12	138.66	557156
11.06.2020 00:00	137.3	137.46	134.82	135.6	376521
15.06.2020 00:00	134.22	134.5	130.92	131.5	793445
16.06.2020 00:00	132.36	134.9	132.36	133.36	793558
17.06.2020 00:00	134.66	137.72	134.16	137.28	837285
18.06.2020 00:00	136.6	139.0	136.16	137.82	925715
19.06.2020 00:00	138.42	139.6	138.02	138.86	776076
22.06.2020 00:00	138.6	138.86	136.34	138.32	457190
23.06.2020 00:00	138.4	140.14	138.02	138.9	365311
25.06.2020 00:00	138.06	138.38	136.5	138.34	451454
26.06.2020 00:00	138.4	138.96	136.78	137.28	246036
29.06.2020 00:00	136.9	139.32	136.86	139.02	308684
30.06.2020 00:00	139.44	141.46	138.86	140.88	572072
02.07.2020 00:00	141.1	141.4	140.1	141.1	301305
03.07.2020 00:00	141.28	143.82	140.62	143.2	401710
06.07.2020 00:00	144.04	144.98	143.32	143.98	333221
07.07.2020 00:00	144.94	144.94	143.02	143.3	433972
08.07.2020 00:00	142.94	143.46	141.78	142.78	287484
09.07.2020 00:00	142.44	142.82	138.92	140.22	568085
10.07.2020 00:00	136.72	136.86	134.36	135.64	581164
13.07.2020 00:00	135.68	138.2	135.0	135.64	312792
14.07.2020 00:00	135.5	137.9	133.4	137.1	476548
15.07.2020 00:00	137.16	139.26	136.68	138.72	352448
16.07.2020 00:00	137.86	138.96	136.6	138.3	213415
17.07.2020 00:00	138.3	138.92	136.94	137.74	169066
20.07.2020 00:00	137.06	139.26	136.68	138.48	227109
21.07.2020 00:00	138.5	141.28	138.2	139.6	372385
22.07.2020 00:00	139.96	142.08	139.18	141.18	507466
23.07.2020 00:00	141.54	143.9	140.84	141.66	453850
24.07.2020 00:00	141.0	144.5	140.22	143.84	614792
27.07.2020 00:00	144.46	145.98	143.46	145.7	602713
28.07.2020 00:00	145.88	149.2	145.38	146.86	669264
29.07.2020 00:00	146.52	147.84	144.5	147.04	540434
30.07.2020 00:00	147.16	147.36	142.78	145.28	731799
31.07.2020 00:00	145.88	146.0	142.58	145.72	583918
03.08.2020 00:00	145.52	146.8	144.52	144.68	349829
04.08.2020 00:00	145.0	149.62	144.52	149.1	993696
05.08.2020 00:00	149.54	149.68	148.08	148.7	705905
06.08.2020 00:00	148.7	150.5	147.72	149.16	701881
07.08.2020 00:00	149.22	149.82	146.52	149.5	509067
10.08.2020 00:00	149.22	154.74	149.22	154.4	851845
11.08.2020 00:00	154.6	159.84	153.84	157.94	874425
12.08.2020 00:00	157.52	163.04	157.26	162.98	757063
13.08.2020 00:00	163.24	166.98	159.28	159.76	766936
14.08.2020 00:00	160.26	160.48	158.92	160.48	480066
17.08.2020 00:00	161.34	161.86	157.72	159.7	611772
18.08.2020 00:00	159.98	161.78	158.76	159.68	605517
19.08.2020 00:00	160.12	162.18	159.34	160.32	436134
20.08.2020 00:00	159.86	161.86	159.08	160.96	410603
21.08.2020 00:00	161.18	161.34	158.08	159.92	432916
24.08.2020 00:00	160.04	161.98	159.32	160.18	379494
25.08.2020 00:00	160.22	160.94	159.28	160.62	437900
26.08.2020 00:00	160.74	161.3	158.82	159.8	446672
27.08.2020 00:00	159.84	160.94	157.54	158.82	636503
28.08.2020 00:00	159.66	159.66	155.38	156.1	599603
31.08.2020 00:00	156.4	157.64	154.08	154.48	870920
01.09.2020 00:00	155.5	161.76	152.4	161.28	915395
02.09.2020 00:00	161.22	163.38	160.48	161.9	1042760
03.09.2020 00:00	161.26	163.74	161.06	161.92	657012
04.09.2020 00:00	161.5	162.94	160.22	162.5	446772
07.09.2020 00:00	161.8	162.48	159.44	160.2	377703
08.09.2020 00:00	160.02	161.0	158.52	158.98	640094
09.09.2020 00:00	158.6	160.56	158.1	159.86	742373
10.09.2020 00:00	159.32	161.96	156.88	160.44	975885
11.09.2020 00:00	160.3	164.66	159.02	162.98	634434
14.09.2020 00:00	164.0	167.1	162.84	166.6	643303
15.09.2020 00:00	167.38	169.44	165.96	168.98	574211
16.09.2020 00:00	167.36	169.08	165.64	167.2	654671
17.09.2020 00:00	166.42	168.96	166.1	168.3	497548
18.09.2020 00:00	168.06	168.72	165.42	166.68	641318
21.09.2020 00:00	166.12	167.48	164.72	166.42	393977
22.09.2020 00:00	165.98	168.1	165.4	166.72	498667
23.09.2020 00:00	167.0	168.86	165.0	165.1	696029
24.09.2020 00:00	165.76	168.28	163.26	167.52	607334
25.09.2020 00:00	167.64	169.0	166.54	168.58	336241
28.09.2020 00:00	168.7	172.0	168.36	171.86	575323
29.09.2020 00:00	171.6	175.16	171.06	175.0	555163
30.09.2020 00:00	174.54	175.98	171.52	172.0	514598
01.10.2020 00:00	172.72	174.0	171.0	171.52	235958
02.10.2020 00:00	171.12	174.6	171.0	173.46	328657
05.10.2020 00:00	173.84	174.76	171.94	173.9	378599
06.10.2020 00:00	173.5	174.78	172.36	173.2	384906
